# Spherical harmonic coefficients for the Swarm High-latitude convection (Swarm Hi-C) model
# Produced 01 April 2026
#
# Based on Swarm convection measurements made between 2014-05 and 2025-10, inclusive, using EFI TII Cross-Track Flow Data version 0401 (https://earth.esa.int/eogateway/documents/20142/37627/swarm-EFI-TII-cross-track-flow-dataset-release-notes.pdf).
# Original file: model_v4.0FINAL_iteration_37.txt produced by Fasil Tesema, UiB
# Reference: Hatch et al. (2025), "Does high-latitude ionospheric electrodynamics exhibit hemispheric mirror symmetry?", Annales Geophysicae (https://doi.org/10.5194/angeo-42-229-2024)
#
# Coefficient unit: mV/m
# Apex reference height: 110 km
# Earth radius: 6371.2 km
#
# Spherical harmonic degree, order: 65, 3 (for T)
# 
# column names:
#n m tor_c_const tor_s_const tor_c_sinca tor_s_sinca tor_c_cosca tor_s_cosca tor_c_epsilon tor_s_epsilon tor_c_epsilon_sinca tor_s_epsilon_sinca tor_c_epsilon_cosca tor_s_epsilon_cosca tor_c_tilt tor_s_tilt tor_c_tilt_sinca tor_s_tilt_sinca tor_c_tilt_cosca tor_s_tilt_cosca tor_c_tilt_epsilon tor_s_tilt_epsilon tor_c_tilt_epsilon_sinca tor_s_tilt_epsilon_sinca tor_c_tilt_epsilon_cosca tor_s_tilt_epsilon_cosca tor_c_tau tor_s_tau tor_c_tau_sinca tor_s_tau_sinca tor_c_tau_cosca tor_s_tau_cosca tor_c_tilt_tau tor_s_tilt_tau tor_c_tilt_tau_sinca tor_s_tilt_tau_sinca tor_c_tilt_tau_cosca tor_s_tilt_tau_cosca tor_c_f107 tor_s_f107 
 6 2   -0.02921    0.07351  -0.008332  -0.004232    0.04372   -0.03792    -0.0033    0.01984  0.0007217  -0.001705   -0.03713   -0.00307   0.000786 -0.0004321   0.002273  -6.56e-05     0.0018  -0.001613  0.0003132   0.005337  0.0007676  -0.001282  0.0004591  -0.001952    0.02892    0.01939  -0.003639   0.003604   -0.03019   -0.01227   0.003304   0.003981  -0.003018  -0.005305   0.002282   0.002341  0.0003924       0.01
 6 3   0.005437   -0.00925    0.01073   0.007062  0.0003334 -0.0005613   0.002988  -0.001368   0.002598  -0.000162   0.001637 -0.0001535  0.0001778  -0.004951   0.001278 -5.079e-05  0.0007541   0.000911  0.0005284   0.001313  -0.001004  0.0004064  0.0004026 -0.0004502 -0.0009088   0.001711  -0.003339  -0.001844   0.001555  -0.001036  -0.003499  -0.004736   0.001505 -0.0004275  0.0006529  -0.003105  4.969e-05  0.0009104
 7 0   -0.05424        nan    0.02741        nan     0.0187        nan    0.02762        nan    -0.0994        nan    0.02143        nan -8.868e-05        nan  0.0001773        nan -0.0003617        nan  -0.001959        nan  -0.002336        nan -0.0002865        nan    -0.0237        nan   -0.05228        nan    0.02322        nan -2.247e-05        nan   0.001403        nan -0.0002868        nan   -0.00161        nan
 7 1    -0.0412     0.0366   -0.01318    0.03147      0.079    0.07078    0.04292       0.21    0.01023  -0.006037   -0.02172   -0.02427   0.005362    0.00465   0.002047  -0.001854 -0.0008169  -0.001386 -0.0001375   0.003551 -0.0007857  0.0001077  -0.001546  0.0002267    0.01474    0.03117  -0.001758  0.0009345  -0.003635    -0.0338   0.001708   0.003152  0.0005733   0.001322 -0.0008764   0.002142  -0.007303    0.02071
 7 2    -0.0639   -0.05725    0.01165   0.002139   -0.01755     0.0193   0.005959    0.02749  -0.005005  -0.002857   0.004069    0.02606   0.002386   -0.00416   0.001703  -0.000456 -0.0002487 -0.0006545 -0.0001545  -0.001404   0.002208  0.0006527 -4.898e-05  -0.002982   0.002808   -0.02489  -0.003553  -0.002486   0.004648    0.03184  0.0007633   0.002345  -0.002446  -0.001139  -0.002318   0.002029  1.364e-05  -0.001618
 7 3  -0.004269   -0.05662  -0.001615   0.008582  -0.001372   -0.01531    0.01062  -0.005634   0.004202  -0.003655   0.002972   0.004654  -0.005108   -0.00477   0.002108  -0.002755 -1.453e-05  0.0001111  -0.003882   0.001264  0.0007635  -0.004312  0.0009409  -0.002042  -0.001293   0.008555  0.0005511  -0.002556   0.004831   0.001159  -0.001935  -0.007237  -0.001789  -0.004973  0.0003108  -0.006668  -0.005423   -0.01784
 8 0   -0.08845        nan  -0.003336        nan    0.07606        nan    0.05583        nan   0.003767        nan    0.02623        nan   0.001857        nan  0.0002769        nan  -0.002045        nan    0.00177        nan  -0.001047        nan -0.0002916        nan  -0.009503        nan  -0.001456        nan    0.02098        nan   0.001764        nan -0.0007749        nan   0.002161        nan  -0.004603        nan
 8 1   -0.05175   -0.04859    -0.0864    0.03905    0.01062    0.01898    0.01826    0.01499    0.03071    -0.0149    0.02225   0.008827  0.0008451   0.005023  0.0003881 -0.0005951    0.00126  -0.001528   0.001168   0.001545 -0.0003654 -0.0002674   -0.00384   0.001454   -0.01324   0.005945    0.01526  -0.004778   0.008445  0.0003239  -0.002583 -0.0007586   0.001001  -0.001174  -0.001422  0.0004699  -0.008294   0.005417
 8 2   -0.03819     0.1005   -0.01247  -0.005716    0.04142   -0.08717   0.002183   0.006536  -0.001393  0.0008177   -0.03519   0.004345   0.001953  -0.002103  -0.001633  0.0007286   -0.00166 -0.0009133 -3.682e-05  -0.001162 -0.0001799  0.0006568  0.0001144  0.0005901    0.03576    0.02883  -0.003993   0.001881   -0.02961   -0.02056  -0.001517 -0.0009804   0.001136   0.001722 -0.0006893  0.0007549 -0.0007484  -0.003003
 8 3   0.007848   -0.02311    0.02474    0.01121  0.0007965  -0.003617     0.0043  -0.003907 -0.0004185  -0.001541   0.001519 -0.0007373 -5.291e-05  -0.004312   0.001702  0.0003855  0.0007384   0.001303  -0.000843  0.0009971  -0.001139  0.0003514   0.000501 -0.0003286  0.0005847   0.003012  -0.002785  -0.002361  0.0005929  -0.002997  -0.002262  -0.003258    0.00139 -0.0003234  0.0008462  -0.001856   0.001381 -0.0002885
 9 0    -0.0267        nan  -0.007728        nan    0.01923        nan    0.01807        nan     -0.103        nan    0.01387        nan  -0.000992        nan -0.0005754        nan -0.0009786        nan -0.0006675        nan  0.0006139        nan -0.0001128        nan   -0.01176        nan   -0.04794        nan    0.01379        nan   -0.00012        nan  -0.001213        nan  -0.001276        nan   0.001358        nan
 9 1   -0.03505     0.2102   -0.01112      0.033    0.05041   -0.06599    0.06549     0.1569   0.003847  -0.004196   0.004647    0.01417   0.005529   0.004383   0.001116  -0.001514  -0.001065  -0.001765 -0.0004084 -0.0005955  -0.001122 -0.0005059 -0.0004919   0.001866   0.001711   0.009441  0.0007556 -0.0006299   0.009858   -0.01639   0.000348   0.002757  0.0005092 -0.0002592  4.894e-05   0.002724    0.00171   0.007932
 9 2   -0.07421   -0.07967   0.009281  -0.004247    -0.0176    0.01953   0.003558    0.02988  -0.002743  -0.001854   0.002557    0.02885   0.002061  0.0001726  0.0004098  -0.001454  -0.001376   0.001114 -0.0003235  0.0007351  -0.003043 -0.0002638  0.0001611   0.002933   0.005432   -0.02839  -0.009703  -0.001401  -0.001229     0.0294 -0.0004537  -0.001057   0.002939  0.0009328   0.002674  -0.002849   0.001055   0.001801
 9 3   -0.02069    -0.0817    0.00045   0.009363  -0.002091   -0.02796   0.008264  6.531e-05   0.002141  -0.001428   0.003053   0.004226  -0.001609  -0.001669 -0.0007202  0.0006373   0.000131   0.000465  0.0008207   0.000131 -0.0002487  0.0006761   0.001432  0.0004896  0.0004522   0.007548  -0.000774  -0.002713   0.003489  -0.005049  -0.001314  0.0008529  9.192e-05  0.0006701  0.0009459   0.001078  0.0002999   0.001765
10 0    -0.1348        nan  -0.006902        nan    0.03449        nan    0.06034        nan   0.001188        nan    0.04068        nan  -0.001097        nan  -0.003078        nan   0.002729        nan -0.0003537        nan  0.0009334        nan   0.003832        nan   -0.01537        nan -0.0007678        nan    0.03075        nan -0.0007139        nan  -0.002335        nan  0.0002247        nan  -0.002446        nan
10 1  0.0004563  -0.004269   -0.08552      0.026    0.01928    0.02655   0.009452   0.008453    0.03278   -0.01234   0.007579   0.005588   -0.00062  0.0001237 -8.617e-05 -0.0005295 -4.634e-05 -0.0002741   -0.00157   0.002023 -0.0002681 -0.0002467   0.001155   0.002073   -0.00569   0.002631    0.01183  -0.005532   0.005492 -0.0008258   0.001102 -0.0002818 -0.0003599  0.0001186  0.0005605   0.001854   0.003076   -0.00138
10 2  -0.005686     0.1321  -0.009049  -0.003239   0.001295    -0.1232   0.009136   -0.01805  -0.001767   0.001521    -0.0133   0.002014   0.001896 -0.0005539  -0.003313  0.0007338  -0.002819 -0.0002944  -0.000884  -0.003766 -0.0001856  0.0002675 -0.0001447   0.003208    0.02482     0.0349   -0.00327  0.0005429   -0.01398   -0.02775  -0.002723  -0.005302   0.002213   0.003337  -0.001081  -0.002018  -0.001119  -0.008719
10 3  -0.001196   -0.03352     0.0301   0.003517   0.001695  -0.008539  0.0005795  -0.004232  -0.008865  -0.003409  -0.002791  0.0007939  -0.000277     0.0021  0.0004536   0.001189 -0.0005819  0.0001172  0.0001995 -0.0008415  8.716e-05 -6.176e-05 -0.0002121  0.0007176   0.005461   0.001159   0.002498 -5.434e-05  -0.004826  -0.002603   0.001433   0.001763  -0.001283 -0.0002375  0.0002153   0.001997  -0.002142  0.0006989
11 0   -0.02141        nan   -0.03995        nan   0.007312        nan     0.0142        nan   -0.08712        nan     0.0127        nan -0.0009399        nan  -0.000475        nan -0.0003918        nan  -0.001744        nan   0.001257        nan  -0.001172        nan  -0.008488        nan   -0.04574        nan     0.0112        nan   0.001391        nan -0.0005883        nan -1.549e-05        nan   0.001335        nan
11 1    0.01477     0.3175  -0.004194    0.02649  0.0009562    -0.1794    0.05836    0.06371  -0.004183  -0.004131    0.02514    0.03681  -0.002979  -0.001339  3.654e-05 -0.0006583   0.001113  -0.001284   -0.00184  -0.001721 -0.0006756  4.277e-05  -0.001127  -0.002915  -0.006831  -0.008709   0.004505  -0.002295    0.01427  -0.002025 -4.221e-05  -0.004327  -0.002722 -0.0007219  -0.001126  -0.004922   0.001888   -0.01451
11 2   -0.05518    -0.0782   0.002671    -0.0149  -0.008854    0.01619  0.0001268    0.02213  -0.003307 -0.0008852  0.0002663    0.02105  0.0006526   0.001691 -0.0004068 -0.0009261 -0.0009706   0.001025  0.0004382   0.001739  -0.001341  0.0002023  0.0003159   0.003056    0.00604   -0.01899  -0.008521    0.00106  -0.003834     0.0194  -0.001297  -0.002093   0.001044  0.0008689   0.001675 -0.0005313  0.0001995  0.0007839
